tableName,question,tableSchema
Customer_Addresses, What is the total number of unique customers in the system?,customer_id|address_id|date_from|date_to
Customer_Addresses, Which customers have had multiple addresses associated with their account?,customer_id|address_id|date_from|date_to
Customer_Addresses, How many customers have had a change in their address during a specific time period?,customer_id|address_id|date_from|date_to
Customer_Addresses, Can you identify the customers who have had the longest-lasting address association?,customer_id|address_id|date_from|date_to
Customer_Addresses, What is the distribution of address changes across different customer segments or demographics?,customer_id|address_id|date_from|date_to
Customer_Addresses, Which customers have had the most frequent address changes over time?,customer_id|address_id|date_from|date_to
Customer_Addresses, How does the frequency of address changes vary across different geographic regions?,customer_id|address_id|date_from|date_to
Customer_Addresses," Can you identify any patterns or trends in the timing of address changes (e.g., seasonal, annual, etc.)?",customer_id|address_id|date_from|date_to
Customer_Addresses, What is the average duration of an address association for customers?,customer_id|address_id|date_from|date_to
Customer_Addresses," Which customers have had gaps or overlaps in their address associations, potentially indicating data quality issues?",customer_id|address_id|date_from|date_to
Addresses,• 1. What is the total number of unique addresses in the system?,address_id|address_details
Addresses,• 2. Which addresses have been recently added or updated?,address_id|address_details
Addresses,"• 3. How many addresses are associated with a particular region, city, or postal code?",address_id|address_details
Addresses,• 4. Can you provide a list of addresses that belong to a specific customer or organization?,address_id|address_details
Addresses,• 5. What is the distribution of addresses across different countries or states?,address_id|address_details
Addresses,• 6. Which addresses have incomplete or missing information?,address_id|address_details
Addresses,• 7. How can we identify and resolve any duplicate or conflicting address entries?,address_id|address_details
Addresses,• 8. Can you provide a report of addresses that have been inactive or unused for a certain period?,address_id|address_details
Addresses,• 9. What is the average length or complexity of the address details stored in the system?,address_id|address_details
Addresses,• 10. Which addresses are associated with high-value customers or important business partners?,address_id|address_details
Supplier_Addresses, What suppliers have had multiple addresses over time?,supplier_id|address_id|date_from|date_to
Supplier_Addresses, Which suppliers have had the same address for the longest period?,supplier_id|address_id|date_from|date_to
Supplier_Addresses, How many suppliers have changed their address within a specific date range?,supplier_id|address_id|date_from|date_to
Supplier_Addresses, When did a particular supplier's address change?,supplier_id|address_id|date_from|date_to
Supplier_Addresses, Can we identify suppliers who have relocated to a different region or country based on their address history?,supplier_id|address_id|date_from|date_to
Supplier_Addresses, What is the most common duration for a supplier to maintain the same address?,supplier_id|address_id|date_from|date_to
Supplier_Addresses, Which suppliers have had the highest number of address changes?,supplier_id|address_id|date_from|date_to
Supplier_Addresses, How can we determine if a supplier's address change was temporary or permanent?,supplier_id|address_id|date_from|date_to
Supplier_Addresses, Can we analyze the frequency of address changes for suppliers in different industries or regions?,supplier_id|address_id|date_from|date_to
